race,rekomendasi,gambar,style,price,gender,Inspo
Black,"Cap (Essential Cotton Frayed Edge Cap), Shirt (Dark Green Stripe Relaxed Structured Shirt), Tank Top (Dusty Khaki Standard Tank Top), Jeans (Stained Blue Galaxy Loose Straight Jeans), Shoes (Dr. Martens Vintage 2976 Leather Chelsea Boots Black)","essential-cotton-frayed-edge-cap.jpg, green-relaxed-structured-shirt.jpg, cream-standard-tank-top.jpg, galaxy-loose-straight-jeans.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Casual,"374000, 824000, 250000, 1000000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F2e%2Fb6%2F2eb69afafd80ef91c5e4ffd61a44832207b5f34f.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Black,"Necklace (Jace Necklace), Shirt (Eleven Grey Tyler Lightweight Denim Shirt), Trousers (Soft Stripe Dream Loose Linen Mix Trousers), Shoes (Vans Old Skool Black)","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, dream-loose-linen-mix-trousers.jpg, vans-old-skool.jpg",Formal,"824000, 1000000, 1044000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fd8%2F98%2Fd8980a75a9a3715e3624e2c9cc4dc24af25c1769.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Black,"Necklace (Jace Necklace), Shirt (Relaxed Resort Terry Shirt), Jeans (Space Relaxed Straight Jeans), Shoes (Adidas Handball Spezial Low)","jace-necklace.jpg, relaxed-resort-terry-shirt.jpg, space-relaxed-straight-jeans.jpg, adidas-handball-spezial-low.jpg",Formal,"320000, 820000, 1000000, 2500000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F04%2F89%2F048943f0b4c5c83653bd146833b22d3488bd32fd.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Black,"Necklace (Jace Necklace), Shirt (Eleven Grey Tyler Lightweight Denim Shirt), Jeans (Space Relaxed Straight Jeans), Shoes (Vans Old Skool Shoes)","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, space-relaxed-straight-jeans.jpg, vans-old-skool.jpg",Formal,"320000, 1000000, 1000000, 1044000",Unisex,
Black,"Sunglasses (Dark Brown Sunglasses), Top (Dark Green Long Sleeve Shirt), Shirt (white Crew-neck T-shirt), Pants (Beige Chinos), Shoes (white Canvas Low Top Sneakers) ","dark-brown-sunglasses.jpg, dark-green-long-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"300000, 180000, 150000, 250000, 800000",Man,https://lookastic.com/men/looks/summer/casual/fashion-over-40
Black,"Top (white Short Sleeve Shirt), Shirt (white Crew-neck T-shirt), Pants (Beige Check Chinos), Shoes (white Canvas Low-top Sneakers)","white-short-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-checkers chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"400000, 150000, 400000, 800000",Man,https://lookastic.com/men/looks/summer/casual
Black,"Top (Brown Long Sleeve Crop-top Hoodie), Pants (Chocolate Brown Joggers), Shoes (Converse Run Star Hike Brown Sneakers) ","brown-long-sleeve-croptop-hoodie.jpg, chocolate-brown-joggers.jpg, converse-rin-star-hike-brown-sneakers.jpg",Formal,"400000, 420000, 2500000",Women,https://www.pinterest.com/pin/brown-outfit-ideas--473159504613623938/
Black,"Top (Rainbow Sweater Turtleneck), Shorts (H&M Green Cargo Shorts), Shoes (Chalk Kitten Heel Lace-up Ankle Boots)","rainbow-sweater-turtleneck.jpg, h-and-m-green-cargo-shorts.jpg, chalk-kitten-heel-laceup-ankle-boots.jpg",Casual,"300000, 390000, 430000",Women,https://www.purewow.com/fashion/may-outfit-ideas
white,"Turtleneck (H&M Ribbed Mock Turtleneck), Skirt (Love Bonito Elinie Pleated Midi Skirt.jpg), Shoes (Modshoes the Faye Ladies Brogue)","ribbed-mock-turtleneck-top.jpg, flared-pleated-knee-length-skirt.jpg, modshoes-the-faye-ladies-brogue.jpg",Vintage,"200000, 749000, 600000",Women,https://www.mansworldindia.com/wp-content/uploads/2020/12/queens-gambit-fashion-2020.png
white,"Blouse (Top Animal Print), Skirt (Vista Pastel Fresh Long Skirt), Shoes (Viditi Seoul High Heels)","blousetop-animal-print.jpg, vista-pastel-fresh-long-skirt.jpg, viditi-seoul-high-heels.jpg",Vintage,"40000, 500000, 250000",Women,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/784f59aa18571b854d9f7402657f7396.jpg.webp
white,"Hoodie (Off-white Cropped Hoodie), Sweatpants (Off-white Black Sweatpants), Sandals (Off-white Black 'Meteor' Slides)","offwhite-cropped-hoodie.jpg, offwhite-black-sweatpants.jpg, offwhite-black-meteor-sandals.jpg",Casual,"1030000, 5600000, 3550000",Women,https://www.vitkac.com/us/p/sweatpants-with-logo-off-white-1-trousers-1615395
white,"Jumpsuit (Zara Rustic Beige Jumpsuit With Belt), Sandals (Velcro Sandals)","zara-rustic-beige-jumpsuit-with-belt.jpg, velcro-sandals.jpg",Casual,"654000, 5200000",Women,https://www.instagram.com/p/CsUP4hcMpqw/?hl=en
white,"Shirt (Cotton Striped Shirt Blue), Pants (High Waist Linen Pants), Shoes (Casual white Sneakers)","cotton-striped-shirt-blue.jpg, high-waisted-linen-pants.jpg, casual-white-sneakers.jpg",Casual,"370000, 200000, 600000",Women,https://www.instagram.com/p/CsZaSNcNjL3/?hl=en
white,"Sunglasses (Trek Sunglasses), Shirt (Black Shirt), Shorts (Astro Denim Loose Baggy Shorts), Bracelet (John Bracelet)","trek-sunglasses.jpg, black-shirt.jpg, astro-denim-loose-baggy-shorts.jpg, john-bracelet.jpg",Casual,"600000, 890000, 890000, 230000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2F25%2Fc5%2F25c5fc463ac0e1b6232e1998310ddf0948c4cf1a.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"T-Shirt (Fine Black T-Shirt), Trousers (Chase Pull On Trousers), Sandals (Flat Sandals)","fine-tshirt.jpg, chase-pull-on-trousers.jpg, flat-sandals.jpg",Street,"380000, 1000000, 250000",Women,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fa7%2F76%2Fa7769f8435de8954b8cf0ea1b613b6e1d1c8eade.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Ear Cuffs (Cay Ear Cuffs), Dress (Lycke Shoulder Dress), Rings (Leona Toe Ring Set), Shoes (Ann Demeulemesteer Black Wedge Mules)","cay-ear-cuffs.jpg, lycke-shoulder-dress.jpg, leona-toe-ring-set.jpg, ann-demeulemesteer-black-wedge-mules.jpg",Casual,"225000, 1000000, 200000, 800000",Women,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B450%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fb4%2Fea%2Fb4ea6c6fa008762b88b71022983914e905da4e05.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Shirt (Cotton Poplin Shirt), Tank Top (Clean Fitted Tank Top), Jeans (Arrow Low Heavy Stitching)","cotton-poplin-shirt.jpg, clean-fitted-tank-top.jpg, arrow-low-heavy-stitching.jpg",Casual,"750000, 150000, 1200000",Women,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[]&set=key[resolve.width],value[475]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/33/5d/335d07ffb3e5396fb864aa542c9c6046921ddddb.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
white,"Earrings (Kate Earrings), Shirt (Ava Linen Mix Short Sleeve Shirt), Skirt (Rhea Long Denim Skirt)","kate-earrings.jpg, ava-linen-mix-short-sleeve-shirt.jpg, rhea-long-denim-skirt.jpg",Casual,"800000,  250000, 970000",Women,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fcf%2Fb8%2Fcfb800023a9425db632e5905b45621b74c359535.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
white,"Denim Jacket (Loose Fit Denim Jacket), Vest (Rompi Rajut Middle Gauge Kerah Bulat), Chino (Chino Skinny Fit), Belt (Italian Leather Vintage Narrow Belt), Sneakers (Nike Air Force 1 Sneaker)","loose-fit-denim-jacket.jpg, rompi-rajut-middle-gauge-kerah-bulat.jpg, chino-skinny-fit.jpg, italian-leather-vintage-narrow-belt.jpg, nike-air-force-1-sneaker.jpg",Casual,"800000, 300000, 600000, 499000, 1549000",Man,https://api.fastretailing.com/ugc/v1/uq/gl/OFFICIAL_IMAGES/221202081545_official_styling_130013462
white,"T-Shirt (white T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Unisex,
white,"Earrings (Cay Ear Cuffs), Shirt (Cream Relaxed Terry Shirt), Tank Top (Standard white Tank Top), Bracelet (John Bracelet), Shorts (Men Slim Fit Stretch Cotton Denim Bermuda Shorts), Sneaker (Nike Air Force 1 Sneaker)","cay-ear-cuffs.jpg, cream-relaxed-terry-shirt.jpg, 2-pack-standard-tank-top.jpg, john-bracelet.jpg, mens-slim-fit-stretch-cotton-denim-bermuda-shorts.jpg, nike-air-force-1-sneaker.jpg",Formal,"225000, 820000, 250000, 230000, 800000, 1549000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B4%5D,origin%5Bdam%5D,source%5B%2Fa0%2Fe5%2Fa0e5ab1dcbd9f3c2925dad9322ee34e26fe30837.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings (Cay Ear Cuffs), Necklace (Jace Necklace), Shirt (Black Relaxed Resort Terry Shirt), Short (Austin Jersey Short), Shoes (Dr. Martens Vintage 2976 Leather Chelsea Boots Black)","cay-ear-cuffs.jpg, jace-necklace.jpg, black-relaxed-resort-terry-shirt.jpg, austin-jersey-short.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Street,"225000, 320000, 820000, 675000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fa9%2Fb3%2Fa9b3729f516399b01ce02714330ba7360634d677.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings (Cay Ear Cuffs), Shirt (Lighty Green Relaxed Resort Terry Shirt), Tank Top (Dusty Khaki Standard Tank Top), Shorts (Lighty Green Austin Jersey Shorts), Shoes (Skate Piero Original Lorentz Off white LT Grey)","cay-ear-cuffs.jpg, lighty-green-relaxed-resort-terry-shirt.jpg, dusty-khaki-standard-tank-top.jpg, lighty-green-austin-jersey-shorts.jpg, skate-piero-original-lorentz-off-white-lt-grey.jpg",Casual,"225000, 820000, 150000, 675000, 350000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F20%2Fec%2F20ecf89e1361c4b6b1c128a81056ea7fcfaa0d0a.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Jacket (Military Airborne Flight Tactical Bomber Jacket), Hoodie (H&M Relaxed Fit Grey Hoodie), Jeans (Blue Slim Fit Jeans), Shoes (Adidas Stan Smith white)","military-airborne-flight-tactical-bomber-jacket.jpg, h-and-m-relaxed-fit-grey-hoodie.jpg, blue-slim-fit-jeans.jpg, adidas-stan-smith-white.jpg",Casual,"580000, 500000, 415000, 1200000",Man,https://www.pinterest.com/madamsassypants/dude-fashion/
white,"Cap (Black Norton Caps), T-Shirt (Pocket Boxy Cut Oversized Grey T-Shirt), Pants (Teflon Switchable Cover Pants, Socks (Long Black Nike Shoes), Sneakers (Nike EXP X14 Just Do It Pack Black)","black-norton-caps.jpg, pocket-boxy-cut-oversized-grey-tshirt.jpg, teflon-switchable-cover-pants.jpg, long-black-nike-shoes.jpg, black-norton-caps.jpg",Street,"370000, 65000, 5000000, 150000, 2500000",Man,https://pbs.twimg.com/media/Dh8C7J3XcAACtNQ.jpg:large
white,"Waistcoast (Camel Hair Herringbone Jumper Waistcoat), Shirt (Gingham Brown Shirt), Tie (Brown Tie), Chino (Uniqlo Black Chino Skinny Fit), Shoes (Black Pantofel)","camel-hair herringbone-jumper-waistcoat.jpg, gingham-brown-shirt.jpg, brown-tie.jpg, uniqlo-black-chino-skinny-fit.jpg, black-pantofel.jpg",Vintage,"5000000, 800000, 220000, 600000, 1000000",Man,https://media.istockphoto.com/id/1141636771/photo/portrait-of-a-handsome-chinese-young-man-with-korean-style-clothes-walking-on-street-in-hurry.jpg?s=612x612&w=0&k=20&c=lpTlb9A2_DEaCCHC7v3X9cCuW4pZ--FDMIpG-EiI0Gs=
white,"Caps (Nike Sportswear Heritage 86), Shirt (AIRism Pique Short Sleeve Polo), Chinos (Asos Chinos Light Grey), Sneakers (Nike Air Force 1)","nike-sportswear-heritage-86-futura-washed-cap.jpg, pique-short-sleeve-polo-shirt.jpg, asos-chinos-light-grey.jpg, nike-air-force-1-sneaker.jpg",Casual,"249000, 299000, 303206, 1549000",Man,
white,Top (Double Patchwork I-Tech Tee) Pants (Summer Casual Straight-Leg Hip-Hop Grey Sweatpants) Shoes (Vintage Blue Converse),"double-patchwork-itech-tee.jpg, summer-casual-straightleg-hiphop-grey-sweatpants.jpg, vintage-blue-converse.jpg",Casual,"600000, 700000, 799000",Unisex,https://www.instagram.com/p/CsYodErva3K/?hl=en
Middle Eastern,"Blouse (Chiffon Ruffle Sleeve), Jeans (H&M Flare High Waist Jeans), Sneakers (Women Flat white Shoes Casual Embroidery Sneakers)","https://storage.cloud.google.com/mixmate/chiffon-ruffle-sleeve-blouse.jpg, h&m-flare-highwaist-jeans.jpg, women-flat-white-shoes-casual-embroidery-sneakers.jpg",Casual,"120000, 429900, 298600",Women,
Middle Eastern,"Shirt (Plain Button Front Plaid Shirt), Pants (Men Drawstring Waist Slant Pocket Pants), Sandals (Mint Crocs)","https://storage.cloud.google.com/mixmate/plain-button-front-plaid-shirt.jpg, men-drawstring-waist-slant-pocket-pants.jpg, mint-crocs.jpg",Formal,"640000, 460000, 744100",Man,https://www.instagram.com/p/CsWG7cBSXiY/?hl=en
Middle Eastern,"T-Shirt (white T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Unisex,
Middle Eastern,"Abaya (LB51 Organza Abaya), High Heels (High Heels Shoes)","lb51-organza-abaya.jpg, high-heels-shoes.jpg",Formal,"12000000, 1000000",Women,https://cdn.shopify.com/s/files/1/0527/8367/7631/products/LB51_011_1400x_d2bb9a55-08e1-472b-aff9-a409ddb32c06_700x.jpg?v=1648822203
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Middle Eastern,,,Formal,,Unisex,
Latino Hispanic,"Dress (Floral Print Rose Swing Dress), High Heels (Retro Black white Angkle Strappy High Heels)","https://storage.cloud.google.com/mixmate/Floral-Print-Rose-Swing-Dress-Black-Red.jpg, retro-black-white-ankle-strappy-high-heels.jpg",Vintage,"562000, 887000",Women,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/swing.jpg.webp
Latino Hispanic,"Earrings (Kate Earrings), Top (Ring Asymmetric Top), Sweater (Everyly Sweater), Skirt (Rhea Long Denim Skirt), Boots (Tommy Hilfiger Plaque Ankle Boots)","kate-earrings.jpg, ring-asymmetric-top.jpg, everyly-sweater.jpg, rhea-long-denim-skirt.jpg, monogram-plaque-ankle-boots.jpg",Casual,"250000, 330000, 820000, 970000, 2500000",Women,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F02%2F2d%2F022da268fda8620c0211b043e8f4bdf6d942035b.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Latino Hispanic,"T-Shirt (white T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Unisex,
Latino Hispanic,"Sunglasses (Trek Sunglasses), Dress (Maeve Oversized Dress), Boots (Ankle Boots)","trek-sunglasses.jpg, maeve-oversized-dress.jpg, ankle-boots.jpg",Street,"600000, 1200000, 800000",Women,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fec%2F4f%2Fec4f9922ffb418bca24fd9873a2a975a8672e749.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,
Latino Hispanic,,,Formal,,Unisex,